GEOID,place_name,state_abbr,state_name,pop_2020,pop_2021,pop_2022,pop_2023,lat,lon,land_area_sqmi,place_type,funcstat
3651000,New York city,NY,New York,8740292,8462216,8335798,8258035,40.662712,-73.938677,300.457,25,A
0644000,Los Angeles city,CA,California,3895848,3832573,3822782,3820914,34.019394,-118.410825,470.517,25,A
1714000,Chicago city,IL,Illinois,2743329,2704101,2672660,2664452,41.837045,-87.684939,227.748,25,A
4835000,Houston city,TX,Texas,2299269,2291020,2302488,2314157,29.785743,-95.388806,640.606,25,A
0455000,Phoenix city,AZ,Arizona,1612459,1625187,1643899,1650070,33.572154,-112.090132,518.331,25,A
4260000,Philadelphia city,PA,Pennsylvania,1600684,1589623,1566836,1550542,40.009376,-75.133346,134.356,25,A
4865000,San Antonio city,TX,Texas,1439257,1454003,1473325,1495295,29.462809,-98.524635,498.922,25,A
0666000,San Diego city,CA,California,1386292,1376142,1387378,1388320,32.814977,-117.135562,326.087,25,A
4819000,Dallas city,TX,Texas,1303212,1289705,1297358,1302868,32.793333,-96.766513,339.676,25,A
0668000,San Jose city,CA,California,1009319,981214,972082,969655,37.296011,-121.814552,177.939,25,A
4805000,Austin city,TX,Texas,965827,969608,975418,979882,30.298622,-97.754134,326.365,25,A
1235000,Jacksonville city,FL,Florida,951880,957410,971777,985843,30.336864,-81.661603,747.261,25,A
4827000,Fort Worth city,TX,Texas,923602,937590,957103,978468,32.781954,-97.348573,350.27,25,A
3918000,Columbus city,OH,Ohio,906418,903184,908238,913175,39.983938,-82.984882,220.725,25,A
3712000,Charlotte city,NC,North Carolina,875752,883012,895704,911311,35.209045,-80.83099,310.759,25,A
0667000,San Francisco city,CA,California,870518,811935,807774,808988,37.727239,-123.032229,46.7,25,A
5363000,Seattle city,WA,Washington,740565,731757,749134,755078,47.619335,-122.351538,84.0,25,A
0820000,Denver city,CO,Colorado,717606,711467,713453,716577,39.76185,-104.881105,153.074,25,A
4055000,Oklahoma City city,OK,Oklahoma,683078,688531,695178,702767,35.467079,-97.513657,606.479,25,A
4824000,El Paso city,TX,Texas,679255,678271,677788,678958,31.84778,-106.431106,258.788,25,A
2507000,Boston city,MA,Massachusetts,675466,657283,653243,653833,42.338551,-71.018253,48.34,25,A
4159000,Portland city,OR,Oregon,653344,643179,634668,630498,45.536951,-122.649971,133.488,25,A
3240000,Las Vegas city,NV,Nevada,646794,650827,656191,660929,36.233499,-115.264037,141.862,25,A
2622000,Detroit city,MI,Michigan,638300,633738,631366,633218,42.383037,-83.102237,138.735,25,A
4748000,Memphis city,TN,Tennessee,635225,629493,623840,618639,35.109026,-89.967455,296.202,25,A
2404000,Baltimore city,MD,Maryland,583157,576578,569107,565239,39.300032,-76.610476,80.946,25,A
5553000,Milwaukee city,WI,Wisconsin,577207,566557,563632,561385,43.063348,-87.966695,96.173,25,A
3502000,Albuquerque city,NM,New Mexico,564888,563354,561368,560274,35.10478,-106.646809,187.266,25,A
0627000,Fresno city,CA,California,542710,544175,545253,545716,36.782684,-119.793359,115.818,25,A
0477000,Tucson city,AZ,Arizona,542638,541217,546500,547239,32.153036,-110.870773,242.187,25,A
0664000,Sacramento city,CA,California,525528,525502,525297,526384,38.567694,-121.468161,98.646,25,A
2938000,Kansas City city,MO,Missouri,508220,509080,509129,510704,39.122361,-94.555117,314.68,25,A
0446000,Mesa city,AZ,Arizona,505890,509287,512264,511648,33.400626,-111.716487,141.384,25,A
1304000,Atlanta city,GA,Georgia,499896,492690,498771,510823,33.762909,-84.422675,135.253,25,A
3137000,Omaha city,NE,Nebraska,492758,488626,485132,483335,41.262705,-96.053475,142.98,25,A
0816000,Colorado Springs city,CO,Colorado,480331,483369,486304,488664,38.867255,-104.760749,201.868,25,A
0643000,Long Beach city,CA,California,465585,455449,452931,449468,33.780791,-118.16818,50.672,25,A
3755000,Raleigh city,NC,North Carolina,465354,470813,473423,482295,35.831868,-78.641042,149.447,25,A
5182000,Virginia Beach city,VA,Virginia,459684,458569,455069,453649,36.779525,-76.029142,244.719,25,A
1245000,Miami city,FL,Florida,442827,441869,450014,455924,25.775163,-80.208615,35.996,25,A
0653000,Oakland city,CA,California,440943,436850,434568,436504,37.769846,-122.22569,55.963,25,A
2743000,Minneapolis city,MN,Minnesota,430710,427806,422003,425115,44.963324,-93.26832,54.0,25,A
4075000,Tulsa city,OK,Oklahoma,413651,412856,411748,411894,36.127949,-95.902316,197.765,25,A
0603526,Bakersfield city,CA,California,405280,409782,412269,413381,35.353171,-119.037919,150.273,25,A
2079000,Wichita city,KS,Kansas,398024,396638,396063,396119,37.690638,-97.345836,162.941,25,A
4804000,Arlington city,TX,Texas,394248,393373,394747,398431,32.700708,-97.124691,95.842,25,A
1271000,Tampa city,FL,Florida,387924,392929,398325,403364,27.966262,-82.477618,113.638,25,A
0804000,Aurora city,CO,Colorado,386773,390516,393794,395052,39.703633,-104.720088,163.009,25,A
2255000,New Orleans city,LA,Louisiana,383241,377346,369917,364136,30.05342,-89.934502,169.5,25,A
3916000,Cleveland city,OH,Ohio,371806,365329,362806,362656,41.478462,-81.679435,77.735,25,A
0602000,Anaheim city,CA,California,346658,345039,342777,340512,33.855502,-117.758657,50.283,25,A
2146027,Lexington-Fayette urban county,KY,Kentucky,322627,320519,320281,320154,38.040678,-84.458272,283.855,UC,A
0675000,Stockton city,CA,California,320976,322004,320831,319543,37.977243,-121.308865,63.095,25,A
3231900,Henderson city,NV,Nevada,319072,322445,331313,337305,36.008958,-115.0268,120.523,25,A
4817000,Corpus Christi city,TX,Texas,318065,317877,316147,316595,27.754252,-97.173385,162.282,25,A
0662000,Riverside city,CA,California,315067,313350,318991,318858,33.938143,-117.393168,81.149,25,A
0669000,Santa Ana city,CA,California,311244,311166,310648,310539,33.736332,-117.8829,27.376,25,A
2758000,St. Paul city,MN,Minnesota,311140,307677,304436,303820,44.948901,-93.104063,51.973,25,A
3451000,Newark city,NJ,New Jersey,310645,307368,304552,304960,40.72422,-74.172574,24.144,25,A
3915000,Cincinnati city,OH,Ohio,309601,308661,309405,311097,39.140183,-84.505829,77.914,25,A
0636770,Irvine city,CA,California,308411,304258,312820,314621,33.678399,-117.771254,65.613,25,A
1253000,Orlando city,FL,Florida,307834,309885,315859,320742,28.40865,-81.254805,111.236,25,A
4261000,Pittsburgh city,PA,Pennsylvania,302779,305400,302799,303255,40.439936,-79.975676,55.378,25,A
2965000,St. Louis city,MO,Missouri,300496,293622,286193,281754,38.635699,-90.244582,61.72,25,A
3728000,Greensboro city,NC,North Carolina,296345,298249,300805,302296,36.09485,-79.823624,133.861,25,A
3436000,Jersey City city,NJ,New Jersey,291949,285105,289772,291657,40.711417,-74.06476,14.748,25,A
