city_raw,state_abbr,adopt_by2012,mayor,pop_2003,violent_crime_2003,damage_2003,pre_label,source
"New York, NY (includes 5 counties)",NY,1.0,1.0,8098066.0,734.1,60.0,adopted_by2012,O'Byrne (2015) Appendix A
"Los Angeles, CA",CA,1.0,1.0,3838838.0,1271.8,77.0,adopted_by2012,O'Byrne (2015) Appendix A
"Chicago, IL",IL,1.0,1.0,2898374.0,,408.0,adopted_by2012,O'Byrne (2015) Appendix A
"Houston, TX",TX,1.0,1.0,2041081.0,1175.3,811.0,adopted_by2012,O'Byrne (2015) Appendix A
"Philadelphia, PA",PA,1.0,1.0,1495903.0,1378.4,52.0,adopted_by2012,O'Byrne (2015) Appendix A
"Phoenix, AZ",AZ,0.0,0.0,1403228.0,692.8,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"San Diego, CA",CA,0.0,1.0,1272746.0,578.7,2270.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Dallas, TX",TX,1.0,0.0,1230302.0,1370.8,103.0,adopted_by2012,O'Byrne (2015) Appendix A
"San Antonio, TX",TX,1.0,0.0,1212789.0,578.7,236.0,adopted_by2012,O'Byrne (2015) Appendix A
"Detroit, MI",MI,1.0,1.0,927766.0,2018.2,234.0,adopted_by2012,O'Byrne (2015) Appendix A
"San Jose, CA",CA,1.0,0.0,909890.0,371.3,333.0,adopted_by2012,O'Byrne (2015) Appendix A
"Indianapolis, IN (City portion of Marion County)",IN,0.0,1.0,800167.0,883.2,132.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Jacksonville, FL",FL,0.0,1.0,776417.0,866.7,27.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"San Francisco, CA",CA,1.0,1.0,772065.0,741.5,38.0,adopted_by2012,O'Byrne (2015) Appendix A
"Columbus, OH",OH,1.0,1.0,726151.0,855.9,294.0,adopted_by2012,O'Byrne (2015) Appendix A
"Austin, TX",TX,1.0,0.0,682319.0,462.1,379.0,adopted_by2012,O'Byrne (2015) Appendix A
"Charlotte, NC",NC,1.0,0.0,668003.0,1076.9,49.0,adopted_by2012,O'Byrne (2015) Appendix A
