GEOID,place_name,state_abbr,pop_2020,adoption_year,year_found,search_class,obyrne_label,adopt_by2012,status_final,audit_note,source_type,evidence_note
3651000,New York city,NY,8740292,2003,2003.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,"NYC 311 launched March 9, 2003 under Mayor Bloomberg as a citywide non-emergency service line."
0644000,Los Angeles city,CA,3895848,2002,2002.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,"LA City Controller audit states the 311 call center was established in 2002; MyLA311 app added in 2013, system overhauled in 2016."
1714000,Chicago city,IL,2743329,1999,1999.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,"Chicago launched its 311 system in 1999, making it one of the earliest U.S. cities to adopt the service."
4835000,Houston city,TX,2299269,1999,1999.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Houston launched its 311 system in 1999.
0455000,Phoenix city,AZ,1612459,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Phoenix uses myPHX311 portal and app (launched 2021) for service requests but does not operate a traditional 311 phone number.
4260000,Philadelphia city,PA,1600684,2008,2008.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Philadelphia Philly311 launched in 2008.
4865000,San Antonio city,TX,1439257,2000,2000.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,San Antonio 311 launched in 2000.
0666000,San Diego city,CA,1386292,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,"San Diego uses the ""Get It Done"" app (launched 2016) for non-emergency service requests; no 311 phone number is operated."
4819000,Dallas city,TX,1303212,2002,2002.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Dallas 311 launched in 2002.
0668000,San Jose city,CA,1009319,2009,2009.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"GovTech reports San Jose launched its 311 mobile pilot on December 15, 2009 via CitySourced; an earlier phone-based 311 call center may have predated this but could not be confirmed."
4805000,Austin city,TX,965827,2000,2000.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Austin 311 launched in 2000.
1235000,Jacksonville city,FL,951880,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Jacksonville has a 311 service (MyJax portal launched 2019), but the original 311 launch date could not be verified from available sources."
4827000,Fort Worth city,TX,923602,2024,2024.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Fort Worth rolled out its 311 non-emergency service number in May 2024.
3918000,Columbus city,OH,906418,2003,2003.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Columbus 311 launched in 2003.
3712000,Charlotte city,NC,875752,2005,2005.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Charlotte launched its 311 system in 2005.
