GEOID,place_name,state_abbr,pop_2020,adoption_year_raw,year_found,source_url,source_type,evidence_note,match_type
3651000,New York city,NY,8740292,2003,2003.0,https://www.nyc.gov/311/,official,"NYC 311 launched March 9, 2003 under Mayor Bloomberg as a citywide non-emergency service line.",exact
0644000,Los Angeles city,CA,3895848,2002,2002.0,https://controller.lacity.gov/audits/311,official,"LA City Controller audit states the 311 call center was established in 2002; MyLA311 app added in 2013, system overhauled in 2016.",exact
1714000,Chicago city,IL,2743329,1999,1999.0,https://www.chicago.gov/city/en/depts/311.html,official,"Chicago launched its 311 system in 1999, making it one of the earliest U.S. cities to adopt the service.",exact
4835000,Houston city,TX,2299269,1999,1999.0,https://www.houstontx.gov/311/,official,Houston launched its 311 system in 1999.,exact
0455000,Phoenix city,AZ,1612459,no_311,,https://www.phoenix.gov/pdd/myphx311,official,Phoenix uses myPHX311 portal and app (launched 2021) for service requests but does not operate a traditional 311 phone number.,exact
4260000,Philadelphia city,PA,1600684,2008,2008.0,https://www.phila.gov/departments/philly311/,official,Philadelphia Philly311 launched in 2008.,exact
4865000,San Antonio city,TX,1439257,2000,2000.0,https://www.sanantonio.gov/311,official,San Antonio 311 launched in 2000.,exact
0666000,San Diego city,CA,1386292,no_311,,https://www.sandiego.gov/getitdone,official,"San Diego uses the ""Get It Done"" app (launched 2016) for non-emergency service requests; no 311 phone number is operated.",exact
4819000,Dallas city,TX,1303212,2002,2002.0,https://dallascityhall.com/departments/311/Pages/default.aspx,official,Dallas 311 launched in 2002.,exact
0668000,San Jose city,CA,1009319,2009,2009.0,https://www.govtech.com/dc/articles/san-jose-pilots-an-iphone-app.html,news,"GovTech reports San Jose launched its 311 mobile pilot on December 15, 2009 via CitySourced; an earlier phone-based 311 call center may have predated this but could not be confirmed.",exact
4805000,Austin city,TX,965827,2000,2000.0,https://www.austintexas.gov/311,official,Austin 311 launched in 2000.,exact
